id	our_name	google_name	our_address	google_address	place_id	google_maps_uri	similarity	google_status	our_status
bc68fa92-f093-45b1-b89d-1a126f065086	am's food and goods	IAM澳洲小時光	台南市北區前鋒路173號	70050台灣臺南市中西區赤嵌里忠義路二段169號	ChIJA8OYn-d3bjQRO4rQcKiEV2I	https://maps.google.com/?cid=7086278397672852027&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.17	OPERATIONAL	operational
9418b634-283c-42cb-9d1d-49bcfa4aa313	正興咖啡館	成真咖啡 台南正興店	台南市中西區國華街三段43號	700台灣臺南市中西區淺草里海安路二段78號	ChIJ_0-h_2R2bjQRU5PYL1NinHI	https://maps.google.com/?cid=8258583926115177299&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.29	OPERATIONAL	operational
5a4e25c8-4aa0-4b29-a446-55ef2897d8a6	Coffee Cafe' 咖啡珈琲	巴黎小餐館	台南市中西區樹林街二段290號	700台灣台南市中西区南美里永福路二段146號2樓	ChIJLzLbOnx2bjQRYDTWoW1GdJU	https://maps.google.com/?cid=10769310045630248032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.00	OPERATIONAL	operational
77fcafdb-a7fe-4064-8993-6c8b93ff4809	穎可達Incosda Coffee	穎可達咖啡股份有限公司	台南市東區仁和路37號	71742台灣臺南市仁德區仁義里林頂街5號	ChIJe8rTVqsFbjQRP8VeEJ2laaQ	https://maps.google.com/?cid=11847182388777895231&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.22	OPERATIONAL	operational
54910ee6-a8e5-438a-9c39-4987df50d6ef	艾登咖啡館	AT Coffee 艾緹咖啡	台南市中西區成功路437號	708台灣臺南市安平區平通里慶平路567號	ChIJyVZrbXx3bjQRtgFtze2iqWs	https://maps.google.com/?cid=7757910975359812022&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.35	OPERATIONAL	operational
54590b00-d565-4655-b4d7-9ac822510b32	福米cafe	福米cafe	台南市中西區西門路一段536號	700台灣臺南市中西區小西門里西門路一段536號	ChIJWfD5QXl2bjQRKFSrnRLmXkY	https://maps.google.com/?cid=5070743198094808104&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	1.00	CLOSED_TEMPORARILY	temporarily_closed
c6b67262-f747-4496-88fa-347a7db5dac1	朋友的朋友咖啡店	朋友的朋友咖啡店	台南市中西區建安街51巷30號	700台灣臺南市中西區南廠里建安街51巷30號	ChIJ_zGotpB3bjQRADfallH8RbA	https://maps.google.com/?cid=12701835751421785856&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	1.00	CLOSED_PERMANENTLY	permanently_closed
a3afd430-a49c-4d63-b205-527e505f7a97	樂享學	樂學商務共享空間館 (辦公室出租/公司借址/活動場地出租)	台南市永康區中山路298號	700台灣臺南市中西區城隍里民權路一段243號4樓	ChIJ2aNfWZ13bjQRHPlF-ayzhDs	https://maps.google.com/?cid=4288750300661414172&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.15	OPERATIONAL	operational
432e665f-2f76-46d9-9e95-14b5aab4eba9	神榕147	神榕一四七	臺南市神農街147號	700台灣臺南市中西區藥王里神農街147號	ChIJseQKc2Z2bjQR26O10DtsIiU	https://maps.google.com/?cid=2675820132771931099&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	0.40	OPERATIONAL	operational
6afdaec2-cbdd-4d55-bc50-419f3d0a483d	Django 決哥手烘咖啡吧-勝利店	Django 決哥手烘咖啡吧-勝利店	台南市東區勝利路187號	701台灣臺南市東區成大里勝利路167-1號	ChIJf0bFjJJ2bjQRqARqD1xlxmQ	https://maps.google.com/?cid=7261602895251506344&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA	1.00	CLOSED_PERMANENTLY	permanently_closed
